Philippe Begue-Wagner;"Yooka-Laylee and the Impossible Lair";"My Time at Portia";"Oxygen not Included";"Dirt Rally 2";"Horace";"";"Invisible Inc";"Wolfenstein TNO";"Alien Isolation";"Metro 2033 (Redux)";"Dishonored 2";"Pinball FX3";"Dark Souls";"Grim Dawn";"Rainbow Six Siege";"Total War Warhammer 2";"";"Total War Warhammer 2";"";"";"Epic Game Store :p"
Nicolas Faivre;"Valfaris";"Blasphemous";"Resident Evil 2";"Devotion";"Baba Is You";"";"Metro 2033";"Wuppo";"Gone Home";"Dark Souls";"Alien Isolation";"Portal 2";"Hollow Knight";"Divinity Original Sin";"The Witcher 3";"Dota 2";"";"";"";"A Fisherman's Tale";""
Nicolas Peltier;"";"";"";"";"Disco Elysium";"";"";"";"";"";"";"";"";"";"";" DARK SOULS™: Prepare To Die™ Edition ";"";"PLAYERUNKNOWN'S BATTLEGROUNDS";"Factorio";"";"Untitled Goose Game"
Emmanuel Le Barre;"Monster Boy and the Cursed Kingdom";"GreedFall";"Bloodstained: Ritual of the Night";"RESIDENT EVIL 2 / BIOHAZARD RE:2";"Sekiro™: Shadows Die Twice";"";"Mass Effect 2";"DARK SOULS™ II: Scholar of the First Sin";"Shovel Knight: Shovel of Hope";"The Talos Principle";"Darksiders™";"HITMAN™";"XCOM® 2";"The Witcher® 3: Wild Hunt";"Return of the Obra Dinn";"Portal 2";"";"";"";"";""
Isaac Julien;"Yooka-Laylee and the Impossible Lair";"Punchline!";"Team Sonic Racing";"Trine 4";"Ace Combat 7";"";"";"";"";"";"";"";"";"";"";"N/A";"";"Street Fighter V";"";"";""
Julie Berger;"Baba Is You";"A Short Hike";"Supraland";"MO:Astray";"Katana ZERO";"";"Assassin's Creed® Odyssey";"Sleeping Dogs: Definitive Edition";"Batman: Arkham City - Game of the Year Edition";"Titanfall 2";"Endless Space® 2";"Portal 2";"Hyper Light Drifter";"Fallout: New Vegas";"Hollow Knight";"Minecraft";"";"Diablo® III";"Hades";"Pistol Whip";"Bloodstained: Ritual of the Night"
Sébastien Pierre-Navarro;"";"";"";"Phoenix Wright: Ace Attorney Trilogy";"SaGa SCARLET GRACE: AMBITIONS";"";"XCOM 2";"Deus Ex: Human Revolution";"Shadowrun: Dragonfall";"Divinity: Original Sin 2";"Dragon Quest XI: Echoes of an Elusive Age";"Yakuza 0";"Ys VIII: Lacrimosa of DANA";"NieR:Automata";"The Legend of Heroes: Trails in the Sky SC";"The Legend of Heroes: Trails in the Sky the 3rd";"";"";"";"";""
Pierre Charles;"Star Wars Jedi: Fallen Order";"Control";"Code Vein";"Metro Exodus";"Supraland";"";"Ys VIII: Lacrimosa of DANA";"Dishonored 2";"Batman: Arkham City";"Rise of the Tomb Raider";"Exapunks";"Metro: Last Light";"Fallout: New Vegas";"The Witcher III: Wild Hunt";"Deus Ex: Mankind Divided";"Dark Souls";"";"Rust";"";"A Fisherman's Tale";"Kingdom Hearts III"
Étienne Roche;"";"";"";"A Plague Tale: Innocence";"Disco Elysium";"";"Assassin's Creed Brotherhood";"Banished";"Subnautica";"Divinity Original Sin II";"Stardew Valley";"Skyrim";"The Return of Obra Dinn";"Fallout: New Vegas";"Disco Elysium";"The Witcher III: The Wild Hunt";"";"Destiny 2";"Factorio";"";"Anthem"
Édith Jean de la Rousset;"Children of Morta";"Ion Fury";"Outward";"Disco Elysium";"Outer Wilds";"";"Dishonored";"The Elder Scrolls V: Skyrim";"Outer Wilds";"Pyre";"Hyper Light Drifter";"The Witcher 2: Assassins of Kings";"Journey";"Deus Ex: Human Revolution";"Ori And the Blind Forest";"The Witcher 3: Wild Hunt";"";"Path of Exile";"Star Citizen";"Boneworks";""
Margaud Vaillant;"Void Basterds";"My Time At Portia";"The Outer Worlds";"Resident Evil 2 Remake";"Disco Elysium";"";"Wolfenstein: The New Order";"Battlefield: Bad Company 2";"Grand Theft Auto V";"Far Cry 3";"The Elder Scrolls V: Skyrim";"The Witcher 3: Wild Hunt";"Batman: Arkham Asylum - Game of the Year Edition";"Disco Elysium";"Mass Effect 2";"Minecraft";"";"Minecraft";"Risk of Rain 2";"";"Epic Games Store"
Guy Gregoire-Martin;"";"";"";"";"Disco Elysium";"";"Cuphead";"DARK SOULS™: REMASTERED";"Shovel Knight: Treasure Trove";"Undertale";"Hollow Knight";"The Witcher 3: Wild Hunt";"Disco Elysium";"NieR:Automata™";"La-Mulana";"Divinity: Original Sin 2 - Definitive Edition";"";"";"";"";""
Gabriel Lemoine;"";"";"";"";"ACE COMBAT™ 7: SKIES UNKNOWN";"";"The Elder Scrolls V: Skyrim";"FINAL FANTASY XIV Online";"Zero Escape: The Nonary Games";"METAL GEAR RISING: REVENGEANCE";"VA-11 Hall-A: Cyberpunk Bartender Action";"FINAL FANTASY TYPE-0™ HD";"FINAL FANTASY XV WINDOWS EDITION";"LIGHTNING RETURNS™: FINAL FANTASY® XIII";"Tom Clancy's Rainbow Six® Siege";"NieR:Automata™";"";"Tom Clancy's Rainbow Six® Siege";"";"";"Epic Games Store"
Élise Pottier;"";"";"";"Detroit: Become Human";"Red Dead Redemption 2";"";"Arma 3";"Dishonored";"Alien: Isolation";"Batman: Arkham Asylum";"The Elder Scrolls V: Skyrim";"Battlefield: Bad Company™ 2";"Deus Ex: Human Revolution";"Spelunky";"DARK SOULS™: Prepare To Die™ Edition";"Mass Effect 2";"";"";"";"";""
Frédérique Bouvier;"Outward";"Code Vein";"AI: The Somnium Files";"Minoria";"Disco Elysium";"";"Ys Origin";"Age of Wonders III";"Prey";"Portal 2";"Divinity: Original Sin Enhanced Edition";"Shadowrun: Dragonfall";"Might & Magic X - Legacy";"DARK SOULS™ II";"Pillars of Eternity";"EXAPUNKS";"";"";"";"";""
Gabrielle Blondel;"Control";"A Short Hike";"Shovel Knight: King of Cards";"Supraland";"Dicey Dungeons";"";"";"";"";"";"";"";"";"";"Hollow Knight";"DARK SOULS™: REMASTERED";"";"Euro Truck Simulator 2";"Hades";"Beat Saber";""
Honoré Renaud;"A Plague Tale: Innocence";"Metro Exodus";"Red Dead Redemption 2";"CODE VEIN";"Tales of Vesperia: Definitive Edition";"";"";"";"";"";"FINAL FANTASY XIV Online";"NieR:Automata™";"Bayonetta";"Tales of Vesperia: Definitive Edition";"DARK SOULS™: REMASTERED";"The Witcher® 3: Wild Hunt";"";"";"";"Beat Saber";""
Jules Gillet;"Bloodstained: Ritual of the Night";"Devil May Cry 5";"RESIDENT EVIL 2 / BIOHAZARD RE:2";"AI: The Somnium Files";"Disco Elysium";"";"METAL GEAR SOLID V: THE PHANTOM PAIN";"Yakuza 0";"Portal 2";"NieR:Automata™";"DOOM";"Disco Elysium";"Prey";"The Witcher® 3: Wild Hunt";"Dishonored";"Fallout: New Vegas";"";"Slay the Spire";"Hades";"Pistol Whip";"Wolfenstein: Youngblood"
Nathalie Blot;"Dicey Dungeons";"Life is Strange 2";"Spyro™ Reignited Trilogy";"STAR WARS Jedi: Fallen Order™";"Supraland";"";"Endless Legend";"Hollow Knight";"Wolfenstein: The New Order";"Stardew Valley";"STAR WARS Jedi: Fallen Order™";"Spyro™ Reignited Trilogy";"The Witness";"DOOM";"Obduction";"Supraland";"";"Hitman™ 2";"";"";"Team Sonic Racing™"
Franck Marchal du Pottier;"DJMAX Respect V";"Outer Wilds";"Dragon Quest Builders 2";"Sekiro: Shadows Die Twice";"SaGa Scarlet Grace: Ambitions";"";"";"";"";"";"";"Hollow Knight";"Ys VIII: Lacrimosa of Dana";"Yakuza 0";"NieR Automata";"The Legend of Heroes: Trails in the Sky the 3rd";"";"";"";"";""
Brigitte du Costa;"";"";"";"Supraland";"My Time At Portia";"";"Minecraft";"Euro Truck Simulator 2";"DOOM";"Yakuza 0";"Dark Souls";"The Witcher 3";"Deus Ex: Mankind Divided";"Saints Row 3";"Saints Row IV";"XCOM 2: War of the Chosen";"";"-";"Factorio";"-";""
Paul Pires;"Sayonara Wild Hearts";"Children of Morta";"Oxygen Not Included";"Sekiro™: Shadows Die Twice";"Disco Elysium";"";"Hollow Knight";"Metal Gear Rising: Revengeance";"Superhot";"Darkest Dungeon";"Heat Signature";"Divinity Original Sin 2";"Nier Automata";"Dark Souls";"The Witcher 3";"Portal 2";"";"DEAD OR ALIVE 6";"Noita";"Beat Saber";"Ghost Recon: Breakpoint"
Nicolas-Franck Brun;"Untitled Goose Game";"Outer Wilds";"Children of Morta";"The Outer Worlds";"Slay the Spire";"";"Hitman";"Stardew Valley";"Sid Meier's Civilization® V";"The Elder Scrolls V: Skyrim";"Dishonored";"Europa Universalis IV";"Slay the Spire";"Euro Truck Simulator 2";"Elite Dangerous";"Crusader Kings II";"";"";"";"";""
Adélaïde Weiss;"RESIDENT EVIL 2 / BIOHAZARD RE:2";"Devil May Cry 5";"Sekiro™: Shadows Die Twice";"FINAL FANTASY XIV: Shadowbringers";"Baldr Sky";"";"MONSTER HUNTER: WORLD";"Baldr Sky";"Sekiro™: Shadows Die Twice";"NieR:Automata™";"FINAL FANTASY XIV Online";"The Legend of Heroes: Trails in the Sky the 3rd";"Ys VIII: Lacrimosa of Dana";"DARK SOULS™ II";"The Legend of Heroes: Ao no Kiseki";"Muv-Luv Alternative";"";"FINAL FANTASY XIV Online";"";"";""
Anaïs Morin;"My Friend Pedro";"DARQ";"A Plague Tale: Innocence";"Bloodstained: Ritual of the Night";"RESIDENT EVIL 2 / BIOHAZARD RE:2";"";"Cuphead";"Yakuza 0";"DOOM";"Transistor";"Ni no Kuni™ II: Revenant Kingdom";"Papo & Yo";"What Remains of Edith Finch";"RESIDENT EVIL 2 / BIOHAZARD RE:2";"Hollow Knight";"DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light";"";" Shovel Knight: Treasure Trove";"Risk of Rain 2";"Trover Saves the Universe";"Anthem™"
Sophie Carpentier;"Monster Girl Island: Prologue";"Star Wars Jedi Fallen Order ";"DMC V";"DQB2";"Sekiro";"";"Oxenfree";"Far Cry 3";"Bioshock Infnite ";"Valiant Hearts ";"Minecraft ";"MGSV ";"RDR2 ";"GTA V";"Titanfall ";"Dark Souls ";"";"Minecraft ";"Risk of Rain 2";"Boneworks";"Left Alive"
